WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
993349,1,0,0,13,13,4,0,0,0,70,0,3,515,1,1,1,1,0,0.48
993350,1,0,0,9,10,5,1,0,0,81,0,2,23,0,0,1,,0,4.81
993352,1,0,0,10,9,2,1,0,1,46,2,4,17,0,0,1,,0,0.34
993353,1,0,0,9,5,6,1,1,0,69,0,2,21,0,0,1,,0,0.99
993356,1,0,0,12,6,6,1,1,0,26,0,6,36,,0,0,0,0,4.26
993357,1,0,0,13,6,2,1,0,0,79,0,7,13028,0,0,1,0,0,0.22
993358,1,0,0,11,15,4,1,0,1,70,0,2,65,1,0,1,1,0,0.67
993359,1,0,0,14,13,,0,0,0,44,0,9,4875,,,,,,0.19
993361,1,0,0,12,4,5,1,1,0,81,0,2,33,0,0,1,,0,0.12
993365,1,0,0,12,6,6,0,0,0,46,2,3,26,0,0,1,1,0,0.06
993366,1,0,0,11,7,4,1,0,0,52,0,2,32,0,0,0,0,0,0.82
993369,1,0,0,13,6,4,0,0,1,68,0,7,19,0,0,1,1,0,0.14
993371,1,0,0,13,12,2,0,0,1,46,0,6,25,0,0,1,0,0,1.5
993372,1,0,0,15,15,6,0,1,0,42,0,6,27,1,1,1,1,0,1.57
993779,0,0,0,11,4,4,0,0,0,26,0,7,17,,0,1,,1,4.07
993780,0,1,0,11,6,2,1,0,1,43,1,,,0,0,1,0,0,0.99
993781,1,0,0,12,3,6,1,1,0,71,0,2,22,0,0,1,0,0,0.06
993786,1,0,0,13,9,5,1,1,0,35,2,7,16,0,0,1,0,0,1.01
993787,1,0,0,12,10,8,1,0,0,37,1,7,8,0,0,1,,0,1.01
993788,1,0,0,10,10,3,1,0,1,61,0,5,20,0,0,1,0,0,0.6
993790,1,0,0,9,8,7,1,1,0,78,1,2,59,0,0,0,0,0,1.15
993794,1,0,0,9,5,4,0,0,0,76,0,4,38,0,0,1,,0,0.24
993798,1,0,0,13,6,2,1,0,0,49,1,2,105,0,0,1,,0,0.43
993800,1,0,0,9,10,4,0,0,1,52,0,6,26,0,0,1,,0,1.5
993804,0,1,0,9,3,5,1,0,1,40,2,2,57,0,0,1,0,0,0.67
994546,0,0,0,11,2,2,1,0,1,87,0,6,35,0,0,1,0,0,1.51
994549,0,1,0,15,13,4,1,0,1,47,0,3,24670,1,0,1,0,0,0.67
994551,1,0,0,14,12,4,0,0,0,73,0,7,29,0,0,1,1,0,0.53
994552,1,0,0,9,5,8,1,0,0,44,2,2,41,,0,1,,1,1.39
994553,1,0,0,9,2,4,1,1,0,78,0,2,43,0,0,0,,0,0.31
994560,1,0,0,10,2,5,0,0,0,61,0,7,35,0,0,1,1,0,0.11
994561,1,0,0,13,12,6,0,1,0,65,0,2,1775,0,0,0,0,0,0.54
994562,1,0,0,12,3,2,0,0,0,62,0,5,86,0,0,1,0,0,0.07
994564,1,0,0,9,3,4,1,0,0,71,0,2,30,0,0,0,1,0,0.28
994565,1,0,0,10,6,2,1,0,1,56,0,4,70,0,0,1,,0,0.43
994566,1,0,0,12,12,2,0,0,1,45,0,4,4682,0,0,1,0,0,1.49
994569,1,0,0,12,7,2,1,0,1,75,0,2,27,0,0,1,1,0,0.38
994570,0,0,0,10,10,6,0,0,0,75,0,3,34,0,0,1,,0,0.9
994571,1,0,0,10,5,7,0,1,0,82,0,2,36,0,0,1,0,0,0.24
994575,1,0,0,9,8,4,1,0,1,62,0,7,22,0,0,1,,0,1.73
994584,1,0,0,10,15,8,1,0,0,61,0,4,61,0,1,1,1,0,1.35
994587,1,0,0,12,7,2,1,0,0,36,0,7,38,0,0,1,,0,0.33
994593,1,0,0,12,16,2,1,1,0,53,2,7,7,0,0,0,0,0,1.01
994596,1,0,0,12,5,6,0,1,0,60,0,3,357,0,1,1,1,0,0.17
