ID,VotedFor,PresVote,PartyID,Age,FamIncome,Female,White,FT.Bush,FT.Clinton,FT.Perot
3957,Clinton,2,1,56,16,1,White,0,85,0
3959,Bush,1,5,62,4,1,White,85,40,50
3961,Clinton,2,1,66,11,0,Non-White,0,100,0
3962,Clinton,2,2,37,19,1,White,40,70,50
3963,Clinton,2,2,31,18,1,Non-White,60,70,15
3964,Bush,1,6,35,21,1,White,65,45,30
3967,Clinton,2,1,70,15,1,White,70,85,50
3969,Bush,1,7,73,24,0,White,70,60,50
3972,Bush,1,4,26,24,1,White,60,60,30
3973,Bush,1,6,34,23,1,White,85,30,60
3974,Clinton,2,3,51,8,1,White,65,75,50
3976,Bush,1,3,21,14,1,Non-White,60,60,30
3977,Clinton,2,4,60,24,0,White,15,85,60
3978,Clinton,2,2,43,24,0,White,15,60,70
3980,Clinton,2,1,57,18,0,Non-White,60,70,0
3982,Clinton,2,4,37,21,1,Non-White,0,60,85
3984,Clinton,2,2,42,1,1,Non-White,30,60,30
3986,Clinton,2,3,30,15,0,Non-White,0,70,60
3987,Perot,3,4,30,14,0,White,60,70,100
3988,Clinton,2,3,34,13,0,White,0,70,50
3989,Clinton,2,2,49,12,1,White,50,60,50
3990,Perot,3,2,19,2,0,White,0,85,70
3991,Perot,3,6,19,19,0,White,70,50,60
3992,Perot,3,7,35,17,0,White,70,50,85
3995,Perot,3,6,52,21,0,White,60,15,85
3996,Clinton,2,1,41,19,0,White,0,70,30
3997,Bush,1,5,36,17,1,White,85,30,60
4001,Clinton,2,3,19,21,1,Non-White,50,85,50
4002,Perot,3,2,39,20,1,White,30,40,50
4003,Perot,3,3,51,18,1,White,0,50,85
4004,Bush,1,2,58,16,0,White,50,30,15
5001,Bush,1,5,41,20,1,White,70,40,60
5002,Clinton,2,1,81,4,1,White,25,80,0
5003,Bush,1,7,55,19,0,White,70,30,40
5004,Clinton,2,1,61,16,0,White,40,85,100
5006,Clinton,2,3,40,19,0,White,60,70,50
